

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:41:12 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.289655103663718E+08, -8.022658209614377E+07,  9.355978197209165E+04,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.304694447324153E+08, -7.723037063950729E+07,  3.764350197969079E+05,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.319352038663424E+08, -7.421482253980221E+07,  6.582430328039452E+05,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.333627368965950E+08, -7.117870800430368E+07,  9.396121571425386E+05,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.347515769196121E+08, -6.812245462966160E+07,  1.220590101385154E+06,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.361012273908303E+08, -6.504674743131447E+07,  1.501142240594193E+06,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.374112064444597E+08, -6.195236543932685E+07,  1.781208882922105E+06,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.386810591565751E+08, -5.884013823081322E+07,  2.060720148964982E+06,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.399103626247936E+08, -5.571092923369187E+07,  2.339601391006425E+06,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.410987287062879E+08, -5.256562741862611E+07,  2.617775632578101E+06,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.422458057669167E+08, -4.940514219328067E+07,  2.895164855637671E+06,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.433512799094675E+08, -4.623039968908512E+07,  3.171690774456942E+06,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.444148758679958E+08, -4.304233971255638E+07,  3.447275355101455E+06,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  1.454363576513096E+08, -3.984191303845167E+07,  3.721841197183037E+06,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  1.464155289761869E+08, -3.663007889237434E+07,  3.995311834930124E+06,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  1.473522335166329E+08, -3.340780254866706E+07,  4.267611987731449E+06,
