

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:53:56 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of B1950.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443376.500000000, A.D. 1977-Aug-21 00:00:00.0000,  1.279778352684080E+08, -8.179290597719745E+07,  1.015093019942529E+05,
2443377.500000000, A.D. 1977-Aug-22 00:00:00.0000,  1.295181894223455E+08, -7.881522054783235E+07,  3.840312208172791E+05,
2443378.500000000, A.D. 1977-Aug-23 00:00:00.0000,  1.310206069151959E+08, -7.581773461595048E+07,  6.654840621029027E+05,
2443379.500000000, A.D. 1977-Aug-24 00:00:00.0000,  1.324850518788151E+08, -7.279921778882261E+07,  9.464960229428597E+05,
2443380.500000000, A.D. 1977-Aug-25 00:00:00.0000,  1.339110522317422E+08, -6.976009193360314E+07,  1.227114864584330E+06,
2443381.500000000, A.D. 1977-Aug-26 00:00:00.0000,  1.352981031145187E+08, -6.670103596506059E+07,  1.507306044231161E+06,
2443382.500000000, A.D. 1977-Aug-27 00:00:00.0000,  1.366457131989201E+08, -6.362282298740029E+07,  1.787009962711398E+06,
2443383.500000000, A.D. 1977-Aug-28 00:00:00.0000,  1.379534174802295E+08, -6.052627697773975E+07,  2.066156838790331E+06,
2443384.500000000, A.D. 1977-Aug-29 00:00:00.0000,  1.392207825601475E+08, -5.741225615241880E+07,  2.344672126474902E+06,
2443385.500000000, A.D. 1977-Aug-30 00:00:00.0000,  1.404474094859153E+08, -5.428164469266278E+07,  2.622478953607429E+06,
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.416329355615767E+08, -5.113534766039709E+07,  2.899499408448623E+06,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.427770356214066E+08, -4.797428730017337E+07,  3.175655313133584E+06,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.438794229613587E+08, -4.479940000156306E+07,  3.450868742797561E+06,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  1.449398500155059E+08, -4.161163360031339E+07,  3.725062407015681E+06,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  1.459581088199201E+08, -3.841194486638786E+07,  3.998159950583829E+06,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  1.469340312911994E+08, -3.520129710504843E+07,  4.270086203787614E+06,
